day_only,header,hours,minutes,titleUrl,time_min,time_max,prod_count
1/8/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-01-08 09:20:56.507000+00:00,2021-01-08 22:40:47.604000+00:00,6
1/8/2021,Google,,,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox,2021-01-08 08:47:45.997000+00:00,2021-01-08 14:47:39.754000+00:00,2
1/8/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-01-08 09:17:16.140000+00:00,2021-01-08 09:17:16.140000+00:00,1
1/8/2021,Google Play Games,,,https://play.google.com/store/apps/details?id=com.google.android.play.games,2021-01-08 16:19:43.849000+00:00,2021-01-08 16:19:43.849000+00:00,1
1/8/2021,Need for Speed™ No Limits,,,https://play.google.com/store/apps/details?id=com.ea.game.nfs14_row,2021-01-08 16:24:14.719000+00:00,2021-01-08 16:24:14.719000+00:00,1
1/8/2021,Netflix,,,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,2021-01-08 09:15:38.489000+00:00,2021-01-08 09:15:38.489000+00:00,1
1/8/2021,Permissions Controller,,,https://play.google.com/store/apps/details?id=com.google.android.permissioncontroller,2021-01-08 16:18:56.870000+00:00,2021-01-08 16:18:56.870000+00:00,1
1/8/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-01-08 09:20:34.266000+00:00,2021-01-08 22:40:54.262000+00:00,6
1/9/2021,Box Simulator for Brawl Stars,,,https://play.google.com/store/apps/details?id=com.bigmelon.bsboxsim,2021-01-09 12:11:33.367000+00:00,2021-01-09 18:09:53.107000+00:00,2
1/9/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-01-09 10:15:33.862000+00:00,2021-01-09 18:55:03.934000+00:00,6
1/9/2021,Google,,,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox,2021-01-09 11:52:00.417000+00:00,2021-01-09 11:52:00.417000+00:00,1
1/9/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-01-09 19:01:30.187000+00:00,2021-01-09 19:01:30.187000+00:00,1
1/9/2021,Need for Speed™ No Limits,,,https://play.google.com/store/apps/details?id=com.ea.game.nfs14_row,2021-01-09 11:18:54.447000+00:00,2021-01-09 21:07:06.315000+00:00,3
1/9/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-01-09 10:15:11.402000+00:00,2021-01-09 19:04:00.895000+00:00,4
1/10/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-01-10 11:53:36.381000+00:00,2021-01-10 22:30:38.272000+00:00,3
