,header,title,titleUrl,time,products,day_only
0,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-15 16:39:50.177000+00:00,['Android'],2021-08-15
1,Minecraft,Used Minecraft,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-08-15 16:24:13.408000+00:00,['Android'],2021-08-15
2,Samsung One UI Home,Used Samsung One UI Home,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-08-15 15:22:06.537000+00:00,['Android'],2021-08-15
3,Roblox,Used Roblox,https://play.google.com/store/apps/details?id=com.roblox.client,2021-08-15 15:19:36.255000+00:00,['Android'],2021-08-15
4,Samsung One UI Home,Used Samsung One UI Home,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-08-15 14:21:33.513000+00:00,['Android'],2021-08-15
5,Google Drive,Used Google Drive,https://play.google.com/store/apps/details?id=com.google.android.apps.docs,2021-08-15 14:21:31.107000+00:00,['Android'],2021-08-15
6,Google Play Store,Used Google Play Store,https://play.google.com/store/apps/details?id=com.android.vending,2021-08-15 13:56:48.791000+00:00,['Android'],2021-08-15
7,Google Chrome: Fast & Secure,Used Google Chrome: Fast & Secure,https://play.google.com/store/apps/details?id=com.android.chrome,2021-08-15 13:55:15.183000+00:00,['Android'],2021-08-15
9,Microsoft OneDrive,Used Microsoft OneDrive,https://play.google.com/store/apps/details?id=com.microsoft.skydrive,2021-08-15 13:54:34.103000+00:00,['Android'],2021-08-15
11,S Suggest,Used S Suggest,https://play.google.com/store/apps/details?id=com.sec.android.app.samsungapps,2021-08-15 13:53:02.953000+00:00,['Android'],2021-08-15
12,Google Play Games,Used Google Play Games,https://play.google.com/store/apps/details?id=com.google.android.play.games,2021-08-15 13:52:46.309000+00:00,['Android'],2021-08-15
13,Minecraft,Used Minecraft,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-08-15 13:47:36.247000+00:00,['Android'],2021-08-15
15,Google,Used Google,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox,2021-08-15 13:45:22.118000+00:00,['Android'],2021-08-15
16,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-15 13:44:19.169000+00:00,['Android'],2021-08-15
17,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-15 09:00:01.209000+00:00,['Android'],2021-08-15
18,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-15 01:32:01.647000+00:00,['Android'],2021-08-15
19,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-15 00:41:39.737000+00:00,['Android'],2021-08-15
20,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-14 21:43:12.957000+00:00,['Android'],2021-08-14
21,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-14 21:00:55.968000+00:00,['Android'],2021-08-14
22,Samsung One UI Home,Used Samsung One UI Home,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-08-14 20:56:51.236000+00:00,['Android'],2021-08-14
23,Roblox,Used Roblox,https://play.google.com/store/apps/details?id=com.roblox.client,2021-08-14 20:56:13.217000+00:00,['Android'],2021-08-14
24,Google,Used Google,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox,2021-08-14 20:46:13.093000+00:00,['Android'],2021-08-14
25,Google Play services,Used Google Play services,https://play.google.com/store/apps/details?id=com.google.android.gms,2021-08-14 19:31:01.657000+00:00,['Android'],2021-08-14
26,Roblox,Used Roblox,https://play.google.com/store/apps/details?id=com.roblox.client,2021-08-14 19:30:53.353000+00:00,['Android'],2021-08-14
